id,name,is_active,created_at,updated_at
c9b1d8a0-2b7c-4c2f-9b2e-7b8d0c1a2e34,AtlasForge Manufacturing,true,2025-10-21T00:00:00Z,2025-10-29T00:00:00Z
4e7a1b2c-0d9e-4a6f-8b1c-3e2d1c0b9a45,BlueCedar Health Systems,true,2025-11-05T00:00:00Z,2025-11-14T00:00:00Z
ab12cd34-ef56-4789-9abc-def012345678,HarborPoint Consulting,false,2025-09-10T00:00:00Z,2025-09-13T00:00:00Z
7c0f7b35-9f6a-4cc6-8d3a-8c9b8b1a7e12,HelioFin Payments,true,2025-09-18T00:00:00Z,2025-09-26T00:00:00Z
3c2b1a0f-9e8d-4c7b-8a6f-5d4c3b2a1f89,Ironclad Insurance Co.,true,2026-01-06T00:00:00Z,2026-01-20T00:00:00Z
2b5f2b7a-1c7d-4b4f-9d86-1f6d4c0f2c01,Nordwind Logistics GmbH,true,2025-09-03T00:00:00Z,2025-09-14T00:00:00Z
1d2e3f4a-5b6c-4d7e-8f9a-0b1c2d3e4f67,Oakridge Media Network,true,2025-12-03T00:00:00Z,2025-12-04T00:00:00Z
6f5e4d3c-2b1a-4c9d-8e7f-0a1b2c3d4e01,PineWorks Construction,false,2025-08-28T00:00:00Z,2025-09-05T00:00:00Z
0a2d6d1e-4c3f-4d8a-9b0a-2d3b2f0a9c23,Riverton Retail Group,true,2025-10-02T00:00:00Z,2025-10-05T00:00:00Z
5e4d3c2b-1a0f-4b8c-9d7e-6f5a4b3c2d90,SilverLine Travel,true,2026-01-22T00:00:00Z,2026-01-25T00:00:00Z
9f3c2a1b-5d6e-4f7a-8b9c-1a2b3c4d5e56,Skyline Energy Partners,true,2025-11-19T00:00:00Z,2025-11-27T00:00:00Z
8a7b6c5d-4e3f-4a2b-9c8d-7e6f5a4b3c78,VerdeMart E-Commerce,true,2025-12-18T00:00:00Z,2025-12-22T00:00:00Z
